Title,Label
jesus monke,0
The MOST INCREDIBLE coaster in Planet Coaster,1
Rotten Tomatoes FINALLY Exposed & It Was The Woman King That Did It!!,1
"Why the Wall WILL Be Built | Heck Off, Commie!",1
Left Won't Stop Smearing Covington Catholic Students | Ep. 181,0
We're Closer To A Major Airline Disaster Than You Think,1
The Rise and Fall of DeviantArt,0
"Now That Biden Thinks He’s Won, He Wants Us To ‘Unite.’ Sorry, I’ll Pass.",1
"German Nationalists Office Bombed, MASSIVE Hack Exposes Politicians",1
YouTube Heroes in a Nutshell,0
"SWEDEN, FREE SPEECH,  AND THE CULTURAL CIVIL WAR IN 0017",0
HAS #METOO GONE TOO FAR?,1
"$1 vs $100,000,000 House!",0
"Epstein Conspiracies Go Mainstream ""Clinton Body Count"" And ""Trump Body Count"" Are Trending",0
This Girl Faked a Miscarriage ( Emotional ),1
Elected Official Inducts Me Into The 'Vortex Of Evil' | Ep. 1118,0
Crazy Suicide Rates,1
When Did Universities Switch From A Conservative Perspective To A Leftist Perspective? #shorts,0
"POP SONG REVIEW: ""Bad Romance"" by Lady Gaga",0
Meet the Hillfolk of The Pendragon Cycle,0
An Asexual Stuffed Animal Enthusiast's Message To Me,0
The power of victimhood | Ep. 805,0
YTP: Doug Walker's Glowing Review of Shark Tale,0
"Woke Journo Taylor Lorenz Just Got BUSTED! Her Career Is Over! Massive Lawsuits, Corruption & More!",1
Meet The Most Evil Woman Alive,1
The DOWNFALL of Kyle Rittenhouse (He's BROKE),1
"If You Care For Your Kids, Get Them Off Social Media",1
"Discussion: Sam Harris, the IDW and the left",0
Did She Escaped The Mental Hospital?,1
What were the officers supposed to do?,1
The Problem With Marriage,0
What We Can All Learn From Islam & The Quran  | Hamza Yusuf | EP 055,0
"Trump's Ukraine Transcript Reveals That The Democrats Made a HUGE Mistake, Are HELPING Trump",1
"Children's Hospital ""Gender Clinic"" Gives INSANE Advice",1
Tim Pool QUITTING Timcast IRL?  A Message Of Support,0
Canadian Constitutional Crisis | Brian Peckford | EP 001,0
Terry McAuliffe Linked to Law Firm Fighting Student Who Said She Was Sexually Assaulted,0
WAKE UP! It's the Rich Vs the Rest of us - Vote for people who will fight for you (RANT),1
Has Destiny 0 lived up to the hype?,0
Leftist Journalist Claims to Have PTSD After Reading Mean Comments Online,0
Hasan and Vaush BANNED Off Twitch for saying ‘CRACKER’ - How Power Dynamics Impact ‘OFFENSIVE’ Words,1
Insane Parents Transition 4 Year Old! This Has To Stop!,1
"Skyrim, but if I look at ANY character I have to kill them",0
Why Are Conservatives Obsessed With Voter Fraud?,0
Dubbed Stock Footage | Episode 4,0
Daily Wire Releases Movie That Will Cause EPIC MELTDOWN From Woke Clowns! Starring Matt Walsh & More,1
Texit Will NEVER Get Passed #shorts,1
SECRET TRAVEL TIPS!,1
Impeachment BACKFIRE Gets WORSE As Trump now DEFEATS Every 0000 Democrat In Major Polling,1
The Future: Vision and Invitation | EP 339,0
"FEMINIST Taylor Swift plays VICTIM in ""The Man""",1
Celebrity HYPOCRITES Go Maskless At Superbowl!,1
Elon Musk Just FIRED The ENTIRE Twitter Engineering Team? Oops! The Media Got EPICLY Trolled!,1
"The Spoiled, Privileged Brats Who Wish They Were Oppressed | Ep. 803",0
"Pokimane & Asmongold RAGE Over Twitch Gambling After Streamer Steals $300,000 & xQc and Ludwig Pay",1
Jordan Peterson's Muslim Fans TURN ON HIM For Supporting Israel,1
The System Is Forcing Animal Testing #shorts,0
Lawyer Reacts to Alt-Right TikToks PART 3,0
An Obese Man Won A Woman's Beauty Pageant,1
Feminist INSTANTLY Abandons Beliefs After ONE DATE With Non Soy REAL MAN In Hilarious Backfire,1
AOC's SICKENING Manipulation: Her Capitol Take,1
I challenged a Youtuber to the most chaotic Zelda race ever,0
Message To Canadian Leaders: Seize The Day,0
Rich People Have An Advantage In Politics #shorts,0
Children Should WORK,1
We All Want to Be the Generation to End Something | @turningpointusa,0
Dual Releases - Scott The Woz,0
"Criminals Should Go To Prison, And Other Controversial Opinions | Ep. 1006",0
Infringed Promo - Guns As Entertainment,0
LYING About Being TRANS is R*pe?,1
Leftist Celebrity Seeks Nigerian Citizenship To Flee Donald Trump's Policies Amid Iran Tensions,0
Jordan Peterson Reveals PROOF That Chat GPT & Other AI Programs Are Doomed! Begs Elon Musk For Help,1
"Democrats LIED About The $0,000 Checks Going To Everyone, Use Marjorie Taylor Greene As Distraction",1
Reactionary Reading with Tim Pool,0
Matt Walsh QUITS Youtube & Reveals HUGE Money The Daily Wire Has To Give Up Over Dylan Mulvaney,1
WHEN IS VIOLENCE OK?,1
Can you beat two Mario games with ONE controller?,0
Conservatives Critiquing Taylor Swift Need To Think Twice,0
"Anti Biden Songs Let's Go Brandon Hit #1, #0, AND #3 On Itunes Top 10, Democrats OUTRAGED",1
D.C. Authorities REFUSE to Autopsy Recovered Bodies of These Aborted Babies,1
What If SHE Pulls You Over?,1
"TRAINWRECKORDS: Mötley Crüe's ""Generation Swine""",0
"Making Kamigawa's ""Useless"" Commander Work | Deck-Tech, Lore, & Orientalism",0
Economic Growth Will Someday End #shorts,0
She-Hulk Fans MELTDOWN Over TERRIBLE Finale! Disney Plus Already Teasing Season 0 For Garbage Show,1
Wario the Idea vs. Wario the Man (Character Analysis),0
Men and Divorce Court | Greg Ellis | EP 008,0
Heathers | Shine a Light Reprise | Animatic,0
"Straight People Blamed After Biggest Woke Disaster In Hollywood To Date! ""Bros"" Movie TANKS!",1
7 Things I Wish I Knew Before Starting Law School,1
"Mail In Voting BACKFIRES On Democrats, Thousands Of Ballots From Young And Minority Voters REJECTED",1
Marjorie Taylor Greene and The Conservative Cult of CrossFit,0
The Christmas Shoes: The Fever Dream of Capitalism | Big Joel,0
TikTok Mother Grooms Her Son Into Wearing A Dress,1
skibidi toilet 35,0
The Church Is Plagued By Cowardice | The Matt Walsh Show Ep. 69,0
Hello! quick DougDoug channel update,0
5 Missed Ways Putin Hinted at How America ACTUALLY Works,1
Spider-Man: Far From Home is Shockingly Spectacular,0
Rachel Zegler TORCHED For Saying HER Snow White A Girl Boss & Gets CANCELLED In China! Disney Panics,1
