Title,Label,
Brianna Wu And Tim Pool Agree On The Election,0,
Why Madagascar 0 is Easily the Best One,1,
"The War on ""Hate Speech"" is a War on Conservative Speech | The Matt Walsh Show Ep. 78",1,
Plants vs Zombies is a Timeless Masterpiece,1,
The Greatest Gift of 0003,1,
This Man Is A DANGER To Kids!,1,
The Tragic Story Behind Dr. Epstein's Wife #shorts,1,
Jon Stewart Says Whites Are FAILING The Country?? | Ep 190,1,
Fire This Pre-School Teacher Now!,1,
Woke Brat Rachel Zegler CRIES About Toxic Fans In EPIC BACKFIRE Apology Tour For Snow White!,1,
The Whole DW Lineup Stars In Dylan Mulvaney's 'Day 365 Of Girlhood' Show | Ep. 1130,0,
People Will Die Because Of This,1,
Elon Musk Buying Twitter Is Dead! New Letter Confirms It's Not Happening!,1,
UPDATE: Chippewa Falls School Responds: Debunking Their Bullsh*t!,1,
Minimum Wage Hike Will DESTROY American Jobs,1,
Tim Pool ROBBED By Kayne West After He STORMED Out Of Timcast IRL Show! Fans ROBBED Of A Good Show,1,
"Ethan Klein WEASELS Out Of Steven Crowder Debate, Leftists Cheer? Sam Seder Debacle",1,
"GTA 5 with ONLY my voice, but any damage kills you",1,
Stay Away From Her,1,
Amber Heard RAGES After Johnny Depp TV Appearance As Rumors SWIRL About REMOVAL From Aquaman 0,1,
The Top Ten Best Hit Songs of 0003,0,
Instant Regret For Woke Protestors At Burning Man Festival! This Will Make You So Happy To See!,1,
Woke Razor Company Braun Just Had A HUGE Bud Light Moment! Customers Are DESTROYING Them!,1,
"Why There Was NEVER Going to Be a Blue Wave | Heck Off, Commie!",1,
CIA SLAMS CNN Over Publishing FAKE NEWS About Trump And A Russian Spy,1,
"Feeding A Dog $1 vs $10,000 Steak",0,
Rally to End Child Mutilation | LIVE from Nashville,1,
What if Anyone Won the War of 1810?,0,
The Politics of Animal Crossing - Socialist Utopia or Consumer Capitalist Hellscape?,0,
"Judge Determines Pablo Escobar’s Hippos are ""People""",1,
"Colin Kaepernick Is Still Trying To Be ""Re-enslaved""",1,
MASKS Stop the MALE GAZE? Feminists Support MODESTY??,1,
TF0's Fiery Mann vs. Robotic Automatons,0,
Elon Musk Forced To Use Bodyguards In The Bathroom As Twitter Mocks Him,1,
Youtube's WAR On Adblock BACKFIRES Spectacularly! Louis Rossmann Wins Again,1,
THE MOST PSYCHOTIC ZIONIST TIKTOKS,1,
"Trump Just ENDED Asylum For Central Americans, Major Escalation In Illegal Immigration Debate",1,
The Scandal Of The Jeremy Renner App,0,
Russian Meddling IS NOT An Attempt to Help Donald Trump,1,
Can you trust poll results when the questions are worded like this?,0,
TORBJORN TECHNO   (Remix with Overwatch Sounds),0,
JORDAN PETERSON VS CHANNEL 4 AND CATHY NEWMAN,0,
Ben Shapiro SHUT DOWN MY WIFI - I RIDE AGAIN (008 Weekly Livestream),1,
"POP SONG REVIEW: ""The Middle"" by Zedd & Maren Morris/""Meant to Be"" by Bebe Rexha",0,
California is making it easier for sex offenders to avoid registration and more news headlines,1,
"Songs That Stop on the Word ""Stop!"" Supercut",1,
SJW Rage That YOU Caused!  Please Apologize!,1,
10 Rules for Life: London: How To Academy,0,
Q&A 05-00-0001 | Jordan B. Peterson,0,
This Is Why The Grinch Is Actually The Good Guy,1,
Beating Dark Souls by Completely Stupid Means,1,
"Why Serena Williams' Tantrum Has Nothing To Do With ""Women's Rights"" | The Matt Walsh Show Ep. 101",1,
Matt Walsh REACTS To Johnny Depp's Defamation Trial,0,
The Ellen Show EXPOSED for Toxic and Racist Work Environment - Despite her Support for BLM,1,
Pathfinder Kingmaker Critique,0,
That Time Aang Talked to Big Turtle and Saved the Day: A Video Essay | Big Joel,0,
"Trump Declares The US Will Designate Antifa As A Terrorist Organization, Civil War 0 Is Coming",1,
I created the ultimate Chess Ai (it can cheat),1,
Twitter Just DESTROYED Threads! It's Over & Elon Musk Won! Twitter Monetization Will Change It All!,1,
New Year Resolution Help,0,
Groomers Push ‘Queer Inclusivity’ On Preschoolers | Ep. 890,1,
The Path: Psychological Horror In The Woods,1,
"Democrat BREAKS DOWN Crying After Losing House Seat, Dems Erupt Into Chaos Over Massive House Defeat",1,
Beautiful Girl DESTROYS Her Face For TikTok,1,
0017 Personality 08: Carl Jung and the Lion King (Part 0),0,
Tommy Robinson is OUT of Prison - Pretends Muslims tried to force him to join Islam,1,
Why Is This Teacher Filming This??,1,
The Destructiveness of DEI | THE SEARCH With Elon Musk,1,
"Liberals Try to Ruin JOKER Movie | Heck Off, Commie!",1,
"Drew Brees Promotes The Bible, Gets Attacked As Anti-Gay | Ep. 306",1,
White People Again..,1,
The Anti-SJW MELTDOWN over ‘Race Swapping’ - God of War's Angrboda and Denzel Washington’s Macbeth,1,
"Woke MELTDOWN As Patrick Bet-David, Dana White & More Support Sound of Freedom! Media RAGES Over It!",1,
"The Young Turks SLAM Buttigieg: ""Villifying The POOR!""",1,
Netflix's PURPLE HEARTS is Dumb | Worst 'Enemies to Lovers' Explained,1,
Billie Eilish - Art Style Challenge,0,
Based Chad DESTROYS Woke Teacher! She Gets So ANGRY!,1,
Grandparents Came to Japan!,0,
Pope Francis Is No Reformer | The Matt Walsh Show Ep. 140,0,
Tim Pool Explains How The Key Players Act In The Culture War #shorts,0,
Why Is the Left Hell-Bent on Perpetuating Hate Crime Hoaxes?,1,
The ACLU Rewrites History And Erases Women At The Same Time | Ep. 803,0,
I Have Replaced God in Persona 5 Royal. The Full Shido Arc,1,
Elon Musk GOES PRIVATE On Twitter & Admits MAJOR Problems At Twitter!,1,
How to Integrate Your Shadow Self | Robert Greene & Jordan Peterson,1,
Teen Vogue’s “Sex Magic”?!,1,
Ungrateful Daughter Dances On Her Father's Grave,1,
Twitter Facing 5 BILLION Dollar Fine Over APALLING Behavior & Elon Musk Pounces On it!,1,
A Guide to SPAIN,0,
Rings Of Power GIVES UP Fighting Bad Reviews After House Of The Dragon Destroys Amazon Again!,0,
Pathfinder Planar Guide: The Demiplanes,0,
Why Young Men Listen To Andrew Tate | Ep. 1090,1,
Woke Megan Rapinoe LAUGHS After MISSING Wide Open Game Winning Shot In World Cup & Gets DESTROYED!,1,
Woke Karen BERATES Father Of 0 Year Old Girl For Letting Her Wear Pink (Her Favorite Color),1,
Feminist Face Off: Chelsea Handler vs Hannah Gadsby,1,
The ENDLESS Anti-SJW Hate Campaign Against Brie Larson - Grifters Keep Creating Outrage for Content,1,
ETERNALS is kind of a Mess | Explained,1,
How Hideo Kojima and Metal Gear Solid Made Me a Leftist,1,
How Boys Are Turned Into ‘Girls’ | Ep. 690,1,
Our Nation Has A God-Sized Hole At Its Center | Ep. 791,1,
jesus monke,0,0
The MOST INCREDIBLE coaster in Planet Coaster,1,?
Rotten Tomatoes FINALLY Exposed & It Was The Woman King That Did It!!,1,1
"Why the Wall WILL Be Built | Heck Off, Commie!",1,1
Left Won't Stop Smearing Covington Catholic Students | Ep. 181,1,?
We're Closer To A Major Airline Disaster Than You Think,1,0
The Rise and Fall of DeviantArt,0,0
"Now That Biden Thinks He’s Won, He Wants Us To ‘Unite.’ Sorry, I’ll Pass.",1,0
"German Nationalists Office Bombed, MASSIVE Hack Exposes Politicians",1,1
YouTube Heroes in a Nutshell,0,0
"SWEDEN, FREE SPEECH,  AND THE CULTURAL CIVIL WAR IN 0017",1,0
HAS #METOO GONE TOO FAR?,1,1
"$1 vs $100,000,000 House!",0,0
"Epstein Conspiracies Go Mainstream ""Clinton Body Count"" And ""Trump Body Count"" Are Trending",1,0
This Girl Faked a Miscarriage ( Emotional ),1,1
Elected Official Inducts Me Into The 'Vortex Of Evil' | Ep. 1118,0,0
Crazy Suicide Rates,1,0
When Did Universities Switch From A Conservative Perspective To A Leftist Perspective? #shorts,1,0
"POP SONG REVIEW: ""Bad Romance"" by Lady Gaga",0,0
Meet the Hillfolk of The Pendragon Cycle,0,0
An Asexual Stuffed Animal Enthusiast's Message To Me,1,0
The power of victimhood | Ep. 805,1,0
YTP: Doug Walker's Glowing Review of Shark Tale,0,0
"Woke Journo Taylor Lorenz Just Got BUSTED! Her Career Is Over! Massive Lawsuits, Corruption & More!",1,1
Meet The Most Evil Woman Alive,1,1
The DOWNFALL of Kyle Rittenhouse (He's BROKE),1,1
"If You Care For Your Kids, Get Them Off Social Media",1,1
"Discussion: Sam Harris, the IDW and the left",0,0
Did She Escaped The Mental Hospital?,1,?
What were the officers supposed to do?,1,0
The Problem With Marriage,1,0
What We Can All Learn From Islam & The Quran  | Hamza Yusuf | EP 055,1,0
"Trump's Ukraine Transcript Reveals That The Democrats Made a HUGE Mistake, Are HELPING Trump",1,0
"Children's Hospital ""Gender Clinic"" Gives INSANE Advice",1,1
Tim Pool QUITTING Timcast IRL?  A Message Of Support,0,0
Canadian Constitutional Crisis | Brian Peckford | EP 001,0,0
Terry McAuliffe Linked to Law Firm Fighting Student Who Said She Was Sexually Assaulted,1,0
WAKE UP! It's the Rich Vs the Rest of us - Vote for people who will fight for you (RANT),1,0
Has Destiny 0 lived up to the hype?,0,0
Leftist Journalist Claims to Have PTSD After Reading Mean Comments Online,1,0
Hasan and Vaush BANNED Off Twitch for saying ‘CRACKER’ - How Power Dynamics Impact ‘OFFENSIVE’ Words,1,0
Insane Parents Transition 4 Year Old! This Has To Stop!,1,1
"Skyrim, but if I look at ANY character I have to kill them",0,0
Why Are Conservatives Obsessed With Voter Fraud?,1,0
Dubbed Stock Footage | Episode 4,0,0
Daily Wire Releases Movie That Will Cause EPIC MELTDOWN From Woke Clowns! Starring Matt Walsh & More,1,1
Texit Will NEVER Get Passed #shorts,1,0
SECRET TRAVEL TIPS!,1,0
Impeachment BACKFIRE Gets WORSE As Trump now DEFEATS Every 0000 Democrat In Major Polling,1,?
The Future: Vision and Invitation | EP 339,0,0
"FEMINIST Taylor Swift plays VICTIM in ""The Man""",1,1
Celebrity HYPOCRITES Go Maskless At Superbowl!,1,1
Elon Musk Just FIRED The ENTIRE Twitter Engineering Team? Oops! The Media Got EPICLY Trolled!,1,1
"The Spoiled, Privileged Brats Who Wish They Were Oppressed | Ep. 803",1,0
"Pokimane & Asmongold RAGE Over Twitch Gambling After Streamer Steals $300,000 & xQc and Ludwig Pay",1,1
Jordan Peterson's Muslim Fans TURN ON HIM For Supporting Israel,1,0
The System Is Forcing Animal Testing #shorts,1,0
Lawyer Reacts to Alt-Right TikToks PART 3,1,0
An Obese Man Won A Woman's Beauty Pageant,1,1
Feminist INSTANTLY Abandons Beliefs After ONE DATE With Non Soy REAL MAN In Hilarious Backfire,1,1
AOC's SICKENING Manipulation: Her Capitol Take,1,1
I challenged a Youtuber to the most chaotic Zelda race ever,0,0
Message To Canadian Leaders: Seize The Day,0,0
Rich People Have An Advantage In Politics #shorts,1,0
Children Should WORK,1,1
We All Want to Be the Generation to End Something | @turningpointusa,1,0
Dual Releases - Scott The Woz,0,0
"Criminals Should Go To Prison, And Other Controversial Opinions | Ep. 1006",0,0
Infringed Promo - Guns As Entertainment,1,0
LYING About Being TRANS is R*pe?,1,1
Leftist Celebrity Seeks Nigerian Citizenship To Flee Donald Trump's Policies Amid Iran Tensions,1,0
Jordan Peterson Reveals PROOF That Chat GPT & Other AI Programs Are Doomed! Begs Elon Musk For Help,1,1
"Democrats LIED About The $0,000 Checks Going To Everyone, Use Marjorie Taylor Greene As Distraction",1,1
Reactionary Reading with Tim Pool,0,0
Matt Walsh QUITS Youtube & Reveals HUGE Money The Daily Wire Has To Give Up Over Dylan Mulvaney,1,1
WHEN IS VIOLENCE OK?,1,0
Can you beat two Mario games with ONE controller?,1,0
Conservatives Critiquing Taylor Swift Need To Think Twice,0,0
"Anti Biden Songs Let's Go Brandon Hit #1, #0, AND #3 On Itunes Top 10, Democrats OUTRAGED",1,1
D.C. Authorities REFUSE to Autopsy Recovered Bodies of These Aborted Babies,1,1
What If SHE Pulls You Over?,1,1
"TRAINWRECKORDS: Mötley Crüe's ""Generation Swine""",1,0
"Making Kamigawa's ""Useless"" Commander Work | Deck-Tech, Lore, & Orientalism",0,0
Economic Growth Will Someday End #shorts,0,0
She-Hulk Fans MELTDOWN Over TERRIBLE Finale! Disney Plus Already Teasing Season 0 For Garbage Show,1,1
Wario the Idea vs. Wario the Man (Character Analysis),0,0
Men and Divorce Court | Greg Ellis | EP 008,1,0
Heathers | Shine a Light Reprise | Animatic,0,0
"Straight People Blamed After Biggest Woke Disaster In Hollywood To Date! ""Bros"" Movie TANKS!",1,1
7 Things I Wish I Knew Before Starting Law School,1,0
"Mail In Voting BACKFIRES On Democrats, Thousands Of Ballots From Young And Minority Voters REJECTED",1,?
Marjorie Taylor Greene and The Conservative Cult of CrossFit,0,0
The Christmas Shoes: The Fever Dream of Capitalism | Big Joel,0,0
TikTok Mother Grooms Her Son Into Wearing A Dress,1,1
skibidi toilet 35,0,0
The Church Is Plagued By Cowardice | The Matt Walsh Show Ep. 69,1,?
Hello! quick DougDoug channel update,0,0
5 Missed Ways Putin Hinted at How America ACTUALLY Works,1,1
Spider-Man: Far From Home is Shockingly Spectacular,1,0
Rachel Zegler TORCHED For Saying HER Snow White A Girl Boss & Gets CANCELLED In China! Disney Panics,1,1
